current_id,name,reaction_string,subsystem,lower_bound,upper_bound,suggested_new_id
rxn01434,Argininosuccinate synthase,cpd00002[c0] + cpd00041[c0] + cpd00274[c0] <=> cpd00012[c0] + cpd00018[c0] + cpd00067[c0] + cpd02152[c0],,-1000.0,1000.0,
rxn00802,Argininosuccinate lyase,cpd02152[c0] <=> cpd00051[c0] + cpd00106[c0],,-1000.0,1000.0,
rxn02339,Aspartate transaminase,cpd00024[c0] + cpd00041[c0] <=> cpd00023[c0] + cpd00032[c0],,-1000.0,1000.0,
rxn00416,Asparagine synthase,cpd00001[c0] + cpd00002[c0] + cpd00041[c0] + cpd00053[c0] <=> cpd00012[c0] + cpd00018[c0] + cpd00023[c0] + cpd00067[c0] + cpd00132[c0],,-1000.0,1000.0,
rxn00187,Glutamine synthetase,cpd00002[c0] + cpd00013[c0] + cpd00023[c0] --> cpd00008[c0] + cpd00009[c0] + cpd00053[c0] + cpd00067[c0],,0.0,1000.0,
rxn00085,Glutamate synthase (NADPH) (GOGAT),cpd00006[c0] + 2.0 cpd00023[c0] <=> cpd00005[c0] + cpd00024[c0] + cpd00053[c0] + cpd00067[c0],,-1000.0,1000.0,
rxn00337,Aspartate kinase,cpd00002[c0] + cpd00041[c0] <=> cpd00008[c0] + cpd01977[c0],,-1000.0,1000.0,
rxn01643,Aspartate-semialdehyde dehydrogenase,cpd00005[c0] + cpd00067[c0] + cpd01977[c0] --> cpd00006[c0] + cpd00009[c0] + cpd00346[c0],,0.0,1000.0,
rxn01644,Dihydrodipicolinate synthase,cpd00020[c0] + cpd00346[c0] --> 2.0 cpd00001[c0] + cpd00067[c0] + cpd02120[c0],,0.0,1000.0,
rxn02929,Dihydrodipicolinate reductase,cpd00006[c0] + cpd02465[c0] <=> cpd00005[c0] + cpd00067[c0] + cpd02120[c0],,-1000.0,1000.0,
rxn03031,2 3 4 5-tetrahydropyridine-2-carboxylate N-succinyltransferase,cpd00001[c0] + cpd00078[c0] + cpd02465[c0] <=> cpd00010[c0] + cpd02724[c0],,-1000.0,1000.0,
rxn03087,N Succinyl L 2 6 diaminoheptanedioate 2 ocoglytarate c0,cpd00023[c0] + cpd02724[c0] --> cpd00024[c0] + cpd02698[c0],,0.0,1000.0,
rxn01973,Succinyl-diaminopimelate desuccinylase,cpd00001[c0] + cpd02698[c0] <=> cpd00036[c0] + cpd00504[c0],,-1000.0,1000.0,
rxn01974,Diaminopimelate epimerase,cpd00504[c0] <=> cpd00516[c0],,-1000.0,1000.0,
rxn00313,Diaminopimelate decarboxylase (DAP decarboxylate),cpd00067[c0] + cpd00516[c0] --> cpd00011[c0] + cpd00039[c0],,0.0,1000.0,
rxn01301,Homoserine dehydrogenase,cpd00003[c0] + cpd00227[c0] <=> cpd00004[c0] + cpd00067[c0] + cpd00346[c0],,-1000.0,1000.0,
rxn01300,Homoserine kinase type II,cpd00002[c0] + cpd00227[c0] <=> cpd00008[c0] + cpd00067[c0] + cpd00809[c0],,-1000.0,1000.0,
rxn01069,Threonine synthase,cpd00001[c0] + cpd00809[c0] --> cpd00009[c0] + cpd00161[c0],,0.0,1000.0,
rxn00423,serine O-acetyltransferase,cpd00022[c0] + cpd00054[c0] --> cpd00010[c0] + cpd00722[c0],,0.0,1000.0,
rxn00649,Cysteine synthase,cpd00239[c0] + cpd00722[c0] --> cpd00029[c0] + cpd00084[c0],,0.0,1000.0,
rxn09240,Sulfate adenyltransferase c0,cpd00001[c0] + cpd00002[c0] + cpd00038[c0] + cpd00048[c0] <=> cpd00009[c0] + cpd00012[c0] + cpd00031[c0] + cpd00193[c0],,-1000.0,1000.0,
rxn05239,adenosine 5 phosphate sulfite oxidized thioredoxin oxidoreductase c0,cpd00193[c0] + cpd11421[c0] --> cpd00018[c0] + cpd00067[c0] + cpd00081[c0] + cpd11420[c0],,0.0,1000.0,
rxn00623,hydrogen sulfide NADP oxidoreductase c0,3.0 cpd00001[c0] + 3.0 cpd00006[c0] + cpd00239[c0] <=> 3.0 cpd00005[c0] + 4.0 cpd00067[c0] + cpd00081[c0],,-1000.0,1000.0,
rxn01304,Homoserine O-succinyltransferase,cpd00078[c0] + cpd00227[c0] --> cpd00010[c0] + cpd00822[c0],,0.0,1000.0,
rxn05957,O-succinylhomoserine sulfhydrylase,cpd00239[c0] + cpd00822[c0] --> cpd00036[c0] + cpd00135[c0],,0.0,1000.0,
