gene_id	gene_name	n_reactions	reaction_ids
g1315	COBRAProtein1315	6	rxnBLTPcpd00158;rxnBLTPcpd01030;rxnBLTPcpdMANB;rxnBLTPcpd11603;rxnBLTPcpd05158;rxnBLTPcpd03696
g1316	COBRAProtein1316	6	rxnBLTPcpd00158;rxnBLTPcpd01030;rxnBLTPcpdMANB;rxnBLTPcpd11603;rxnBLTPcpd05158;rxnBLTPcpd03696
g1317	COBRAProtein1317	6	rxnBLTPcpd00158;rxnBLTPcpd01030;rxnBLTPcpdMANB;rxnBLTPcpd11603;rxnBLTPcpd05158;rxnBLTPcpd03696
g1318	COBRAProtein1318	1	rxn01115
g1319	COBRAProtein1319	2	rxnBLTPcpd00117;rxn10537_c0
g1320	COBRAProtein1320	1	rxnVLCFA52
g1321	COBRAProtein1321	14	rxnVLCFA23;rxnVLCFA51;rxnVLCFA3;rxnVLCFA15;rxnVLCFA43;rxnVLCFA27;rxnVLCFA39;rxnVLCFA7;rxnVLCFA35;rxnVLCFA19;rxnVLCFA47;rxn00763_c0;rxnVLCFA31;rxnVLCFA11
g1322	COBRAProtein1322	13	rxnVLCFA26;rxnVLCFA6;rxnVLCFA34;rxnVLCFA18;rxnVLCFA46;rxnVLCFA30;rxnVLCFA10;rxnVLCFA38;rxnVLCFA42;rxnVLCFA22;rxnVLCFA50;rxnVLCFA2;rxnVLCFA14
g1323	COBRAProtein1323	13	rxnVLCFA26;rxnVLCFA6;rxnVLCFA34;rxnVLCFA18;rxnVLCFA46;rxnVLCFA30;rxnVLCFA10;rxnVLCFA38;rxnVLCFA42;rxnVLCFA22;rxnVLCFA50;rxnVLCFA2;rxnVLCFA14
g1324	COBRAProtein1324	12	rxnVLCFA48;rxnVLCFA32;rxnVLCFA12;rxnVLCFA36;rxnVLCFA40;rxnVLCFA24;rxnVLCFA4;rxnVLCFA16;rxnVLCFA44;rxnVLCFA28;rxnVLCFA8;rxnVLCFA20
g1325	COBRAProtein1325	1	rxnVLCFA1
g1326	COBRAProtein1326	1	rxn04384
g1327	COBRAProtein1327	1	rxn04385
g1328	COBRAProtein1328	1	rxn11544
g1329	COBRAProtein1329	1	rxn02287
g1330	COBRAProtein1330	1	rxn00374
g1331	COBRAProtein1331	1	rxn03535
g1332	COBRAProtein1332	1	rxn10476
g1333	COBRAProtein1333	1	rxn10476
g1334	COBRAProtein1334	1	rxn03537
g1335	COBRAProtein1335	1	rxn03540
g1336	COBRAProtein1336	2	rxn00527;rxn05036
g1337	COBRAProtein1337	4	rxn03068;rxn03436;rxn02187;rxn03435
g1338	COBRAProtein1338	2	rxn00527;rxn05036
g1339	COBRAProtein1339	3	rxn02925b_c0;rxn01204b;rxn00656_c0
g1340	COBRAProtein1340	1	rxn01011
g1341	COBRAProtein1341	1	rxn02168_c0
g1342	COBRAProtein1342	1	rxn03062
g1343	COBRAProtein1343	6	rxnPG18;rxnPG38;rxnPG22;rxnPG26;rxnPG6;rxnPG12
g1344	COBRAProtein1344	1	rxn01643
g1345	COBRAProtein1345	1	rxn12192
g1346	COBRAProtein1346	1	rxn00371
g1347	COBRAProtein1347	1	rxn08975_c0
g1348	COBRAProtein1348	1	rxnBIOMASS
g1349	COBRAProtein1349	1	rxn05740_c0
g1350	COBRAProtein1350	1	rxn01101
g1351	COBRAProtein1351	1	rxn00377
