condition	reaction_id	flux	reduced_cost	reaction_name
nodule	rxn00455	0.0	0.0	N-Formyl-L-methionine amidohydrolase
nodule	rxn00790	-1.5067593141250814e-16	0.0	Amidophosphoribosyltransferase
nodule	rxn02895	-1.5067593141250814e-16	0.0	Phosphoribosylamine--glycine ligase
nodule	rxn03004	-1.5067593141250814e-16	0.0	Phosphoribosylglycinamide formyltransferase
nodule	rxn03084	-1.5067593141250814e-16	0.0	Phosphoribosylformylglycineamide synthase
nodule	rxn02937	-1.5067593141250814e-16	0.0	2 Formamido N1 5 phosphoribosylacetamidine cyclo ligase c0
nodule	rxn05229	-1.5067593141250814e-16	0.0	NCAIR synthetase and NCAIR mutase
nodule	rxn03147	-1.5067593141250814e-16	0.0	Phosphoribosylaminoimidazolesuccinocarboxamide synthase
nodule	rxn03136	-1.5067593141250814e-16	0.0	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole AMP-lyase
nodule	rxn03137	-1.5067593141250814e-16	0.0	Phosphoribosylaminoimidazolecarboxamide formyltransferase
nodule	rxn00832	1.5067593141250814e-16	-0.0	IMP cyclohydrolase
nodule	rxn00834	0.0	0.0	IMP dehydrogenase
nodule	rxn00917	0.0	0.0	GMP synthase
nodule	rxn09562	0.0	0.0	Guanylate kinase: GMP
nodule	rxn00237	0.5147414285714299	0.0	Nucleoside disphosphate kinase: GDP
nodule	rxn05233	0.0	0.0	Ribonucleotide reductase: GDP
nodule	rxn01353	0.0	-0.0	Nucleoside disphosphate kinase: dGDP
nodule	rxn00838	-1.5067593141250812e-16	0.0	Adenylosuccinate synthetase
nodule	rxn00800	-1.506759314125081e-16	0.0	Adenylosuccinate lyase
nodule	rxn00097	0.0	-0.0	Adenylate kinase: AMP
nodule	rxn05231	0.0	0.0	Ribonucleotide reductase: ADP
nodule	rxn00839	0.0	0.0	Nucleoside disphosphate kinase: dADP
nodule	rxn00414	0.0	0.0	Carbamoyl phosphate synthase
