condition	reaction_id	flux	reduced_cost
nodule_max_n2	rxn05325	2.0433084668887424e-15	0.0
nodule_max_n2	rxn05343	2.0433084668887424e-15	0.0
nodule_max_n2	rxn05338	-2.0433084668887424e-15	-0.0
nodule_max_n2	rxn05333	2.0433084668887424e-15	0.0
nodule_max_n2	rxn05327	1.0114376911099116e-16	0.0
nodule_max_n2	rxn05348	1.0114376911099115e-16	0.0
nodule_max_n2	rxn05340	-1.0114376911099113e-16	-0.0
nodule_max_n2	rxn05331	1.0114376911099115e-16	0.0
nodule_max_n2	rxn05324	1.0114376911099113e-16	0.0
nodule_max_n2	rxn05345	1.0114376911099115e-16	0.0
nodule_max_n2	rxn05342	-1.0114376911099113e-16	-0.0
nodule_max_n2	rxn05335	1.0114376911099287e-16	0.0
nodule_max_n2	rxn05323	1.0114376911099286e-16	0.0
nodule_max_n2	rxn05344	1.0114376911099286e-16	0.0
nodule_max_n2	rxn05336	-1.0114376911099285e-16	-0.0
nodule_max_n2	rxn05332	1.0114376911099286e-16	0.0
nodule_max_n2	rxn05328	1.0114376911099285e-16	0.0
nodule_max_n2	rxn05460	0.0	0.0
nodule_max_n2	rxn05461	0.0	0.0
nodule_max_n2	rxn05462	0.0	0.0
nodule_max_n2	rxn05464	0.0	0.0
nodule_max_n2	rxn07455	1.9421646977777515e-15	0.0
nodule_max_n2	rxnUS1	1.9421646977777515e-15	0.0
nodule_max_n2	rxnUS2	-1.9421646977777515e-15	-0.0
nodule_max_n2	rxnUS3	1.9421646977777515e-15	0.0
nodule_max_n2	rxnUS4	1.942164697777751e-15	0.0
nodule_max_n2	rxnUS5	1.9421646977777515e-15	0.0
nodule_max_n2	rxnUS6	-1.9421646977777515e-15	-0.0
nodule_max_n2	rxnUS7	1.9421646977777515e-15	0.0
nodule_max_n2	rxnUS8	1.942164697777751e-15	0.0
nodule_max_n2	rxnUS9	1.9421646977777515e-15	0.0
nodule_max_n2	rxnUS10	-1.9421646977777515e-15	-0.0
nodule_max_n2	rxnUS11	1.9421646977777515e-15	0.0
nodule_max_n2	rxnUS12	1.942164697777751e-15	0.0
nodule_max_n2	rxnUS13	1.91151507077442e-15	0.0
nodule_max_n2	rxnUS14	1.91151507077442e-15	0.0
nodule_max_n2	rxnUS15	1.91151507077442e-15	0.0
nodule_max_n2	rxnUS16	1.9115150707744197e-15	0.0
nodule_max_n2	rxnVLCFA1	0.0	0.0
nodule_max_n2	rxnVLCFA2	0.0	0.0
nodule_max_n2	rxnVLCFA3	0.0	-0.0
nodule_max_n2	rxnVLCFA4	0.0	0.0
nodule_max_n2	rxnVLCFA5	0.0	0.0
nodule_max_n2	rxnVLCFA6	0.0	0.0
nodule_max_n2	rxnVLCFA7	0.0	-0.0
nodule_max_n2	rxnVLCFA8	0.0	0.0
nodule_max_n2	rxnVLCFA9	0.0	0.0
nodule_max_n2	rxnVLCFA10	0.0	0.0
nodule_max_n2	rxnVLCFA11	0.0	-0.0
nodule_max_n2	rxnVLCFA12	0.0	0.0
nodule_max_n2	rxnVLCFA13	0.0	0.0
nodule_max_n2	rxnVLCFA14	0.0	0.0
nodule_max_n2	rxnVLCFA15	0.0	-0.0
nodule_max_n2	rxnVLCFA16	0.0	0.0
nodule_max_n2	rxnVLCFA17	0.0	0.0
nodule_max_n2	rxnVLCFA18	0.0	0.0
nodule_max_n2	rxnVLCFA19	0.0	-0.0
nodule_max_n2	rxnVLCFA20	0.0	0.0
nodule_max_n2	rxnVLCFA21	0.0	0.0
nodule_max_n2	rxnVLCFA22	0.0	0.0
nodule_max_n2	rxnVLCFA23	0.0	-0.0
nodule_max_n2	rxnVLCFA24	0.0	0.0
nodule_max_n2	rxnVLCFA25	0.0	0.0
nodule_max_n2	rxnVLCFA26	0.0	0.0
nodule_max_n2	rxnVLCFA27	0.0	-0.0
nodule_max_n2	rxnVLCFA28	0.0	0.0
nodule_max_n2	rxnVLCFA29	0.0	0.0
nodule_max_n2	rxnVLCFA30	0.0	0.0
nodule_max_n2	rxnVLCFA31	0.0	0.0
nodule_max_n2	rxnVLCFA32	0.0	0.0
nodule_max_n2	rxnVLCFA33	0.0	0.0
nodule_max_n2	rxnVLCFA34	0.0	0.0
nodule_max_n2	rxnVLCFA35	0.0	-0.0
nodule_max_n2	rxnVLCFA36	0.0	0.0
nodule_max_n2	rxnVLCFA37	0.0	0.0
